OTU,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu0001,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,
Otu0002,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,
Otu0003,Archaea,Miscellaneous_Crenarchaeotic_Group,Miscellaneous_Crenarchaeotic_Group_unclassified,Miscellaneous_Crenarchaeotic_Group_unclassified,Miscellaneous_Crenarchaeotic_Group_unclassified,Miscellaneous_Crenarchaeotic_Group_unclassified,
Otu0004,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta,
Otu0005,Archaea,Thaumarchaeota,Soil_Crenarchaeotic_Group(SCG),Soil_Crenarchaeotic_Group(SCG)_unclassified,Soil_Crenarchaeotic_Group(SCG)_unclassified,Soil_Crenarchaeotic_Group(SCG)_unclassified,
Otu0006,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Terrestrial_Miscellaneous_Gp(TMEG),Terrestrial_Miscellaneous_Gp(TMEG)_unclassified,
Otu0007,Archaea,Thaumarchaeota,Soil_Crenarchaeotic_Group(SCG),Soil_Crenarchaeotic_Group(SCG)_unclassified,Soil_Crenarchaeotic_Group(SCG)_unclassified,Soil_Crenarchaeotic_Group(SCG)_unclassified,
Otu0008,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta,
Otu0009,Archaea,Thaumarchaeota,Soil_Crenarchaeotic_Group(SCG),Soil_Crenarchaeotic_Group(SCG)_unclassified,Soil_Crenarchaeotic_Group(SCG)_unclassified,Soil_Crenarchaeotic_Group(SCG)_unclassified,
Otu0010,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,
Otu0011,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,
Otu0012,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Terrestrial_Miscellaneous_Gp(TMEG,Terrestrial_Miscellaneous_Gp(TMEG)_unclassifie,
Otu0013,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine_Benthic_Group_D_and_DHVEG-1,Marine_Benthic_Group_D_and_DHVEG-1_unclassified,
Otu0014,Archaea,Thaumarchaeota,Soil_Crenarchaeotic_Group(SCG),Soil_Crenarchaeotic_Group(SCG)_unclassified,Soil_Crenarchaeotic_Group(SCG)_unclassified,Soil_Crenarchaeotic_Group(SCG)_unclassified,
Otu0015,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulacea,Methanoline,
Otu0016,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine_Benthic_Group_D_and_DHVEG-1,Marine_Benthic_Group_D_and_DHVEG-1_unclassified,
Otu0017,Archaea,Miscellaneous_Crenarchaeotic_Group,Miscellaneous_Crenarchaeotic_Group_unclassified,Miscellaneous_Crenarchaeotic_Group_unclassified,Miscellaneous_Crenarchaeotic_Group_unclassified,Miscellaneous_Crenarchaeotic_Group_unclassified,
Otu0018,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea,
Otu0019,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine_Benthic_Group_D_and_DHVEG-1,Marine_Benthic_Group_D_and_DHVEG-1_unclassified,
Otu0020,Archaea,Thaumarchaeota,Soil_Crenarchaeotic_Group(SCG),Soil_Crenarchaeotic_Group(SCG)_unclassified,Soil_Crenarchaeotic_Group(SCG)_unclassified,Soil_Crenarchaeotic_Group(SCG)_unclassified,
Otu0021,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Terrestrial_Miscellaneous_Gp(TMEG),Terrestrial_Miscellaneous_Gp(TMEG)_unclassified,
Otu0022,Archaea,Miscellaneous_Crenarchaeotic_Group,Miscellaneous_Crenarchaeotic_Group_unclassified,Miscellaneous_Crenarchaeotic_Group_unclassified,Miscellaneous_Crenarchaeotic_Group_unclassified,Miscellaneous_Crenarchaeotic_Group_unclassified,
Otu0023,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,
Otu0024,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0025,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0026,Archaea,Thaumarchaeota,Soil_Crenarchaeotic_Group(SCG),Soil_Crenarchaeotic_Group(SCG)_unclassified,Soil_Crenarchaeotic_Group(SCG)_unclassified,Soil_Crenarchaeotic_Group(SCG)_unclassified,
Otu0027,Archaea,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,
