OTU,Kingdom,Phylum,Class ,Order,Family,Genus,Species
Otu0001,Archaea(100),Euryarchaeota(100),Methanomicrobia(100),Methanomicrobiales(100),Methanoregulaceae(100),Methanoregula(100),
Otu0002,Archaea(100),Euryarchaeota(100),Methanomicrobia(100),Methanomicrobiales(100),Methanoregulaceae(100),Methanoregula(100),
Otu0003,Archaea(100),Miscellaneous_Crenarchaeotic_Group(100),Miscellaneous_Crenarchaeotic_Group_unclassified(100),Miscellaneous_Crenarchaeotic_Group_unclassified(100),Miscellaneous_Crenarchaeotic_Group_unclassified(100),Miscellaneous_Crenarchaeotic_Group_unclassified(100),
Otu0004,Archaea(100),Euryarchaeota(100),Methanomicrobia(100),Methanosarcinales(100),Methanosaetaceae(100),Methanosaeta(100),
Otu0005,Archaea(100),Thaumarchaeota(100),Soil_Crenarchaeotic_Group(SCG)(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),
Otu0006,Archaea(100),Euryarchaeota(100),Thermoplasmata(100),Thermoplasmatales(100),Terrestrial_Miscellaneous_Gp(TMEG)(100),Terrestrial_Miscellaneous_Gp(TMEG)_unclassified(100),
Otu0007,Archaea(100),Thaumarchaeota(100),Soil_Crenarchaeotic_Group(SCG)(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),
Otu0008,Archaea(100),Euryarchaeota(100),Methanomicrobia(100),Methanosarcinales(100),Methanosaetaceae(100),Methanosaeta(100),
Otu0009,Archaea(100),Thaumarchaeota(100),Soil_Crenarchaeotic_Group(SCG)(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),
Otu0010,Archaea(100),Euryarchaeota(100),Methanomicrobia(100),Methanomicrobiales(100),Methanoregulaceae(100),Methanoregula(100),
Otu0011,Archaea(100),Euryarchaeota(100),Methanobacteria(100),Methanobacteriales(100),Methanobacteriaceae(100),Methanobacterium(100),
Otu0012,Archaea(100),Euryarchaeota(100),Thermoplasmata(100),Thermoplasmatales(100),Terrestrial_Miscellaneous_Gp(TMEG)(99),Terrestrial_Miscellaneous_Gp(TMEG)_unclassified(99),
Otu0013,Archaea(100),Euryarchaeota(100),Thermoplasmata(100),Thermoplasmatales(100),Marine_Benthic_Group_D_and_DHVEG-1(100),Marine_Benthic_Group_D_and_DHVEG-1_unclassified(100),
