,M_01A_001,M_01B_002,M_01C_003,M_02A_004,M_02B_005,M_02C_006,M_02D_007,M_03A_008,M_03B_009,M_03C_010,M_04A_011,M_04B_014,M_04C_017,M_05A_020,M_05C_022,M_06A_023,M_06B_024,M_06C_025,M_07B_027,M_07C_028,M_08A_029,M_08B_030,M_08C_031,M_09A_032,M_09B_033,M_09C_034,M_10A_035,M_10B_036,M_10C_037,M_11A_038,M_11B_039,M_11C_040,M_12A_041,M_12B_042,M_12C_043,M_13A_044,M_13B_045,M_13C_046,M_14A_047,M_14B_048,M_14C_049,M_15A_050,M_15B_051,M_15C_052
Otu0001,210,842,153,1877,26,133,46,11,22,80,37,13,33,37,54,95,101,39,49,38,59,23,27,100,63,57,7,4,1,1818,491,2481,18,40,48,27,36,18,6,3,13,0,7,7
Otu0002,35,151,17,337,5,23,3,5,4,25,61,17,50,9,22,11,17,3,11,11,4,6,2,11,16,11,12,5,5,409,144,666,9,3,4,6,5,7,15,13,14,1,9,8
Otu0003,23,178,12,319,1,29,2,4,1,34,14,17,9,14,19,10,15,0,2,17,10,3,6,18,11,10,4,2,16,269,115,739,8,4,2,4,13,2,0,1,2,0,5,2
Otu0004,62,302,20,309,0,21,7,4,2,27,35,14,28,13,8,11,3,2,14,9,23,2,2,7,14,3,7,13,3,284,55,312,6,5,5,6,5,3,3,10,6,0,5,1
Otu0005,3,25,6,160,9,9,6,1,2,29,262,131,180,3,4,38,39,3,7,4,4,3,11,19,22,25,5,8,10,327,97,663,8,13,29,26,33,12,8,1,14,0,17,8
Otu0006,29,122,20,241,5,19,9,3,14,11,37,18,33,6,5,10,6,3,5,7,12,4,5,7,4,0,12,9,0,434,158,523,10,4,4,1,0,1,13,3,0,0,0,5
Otu0007,3,15,12,115,5,3,5,0,2,16,197,131,145,1,3,26,28,2,1,3,11,1,3,6,15,7,0,8,9,284,69,490,15,1,14,10,22,6,2,1,19,0,4,6
Otu0008,28,128,8,178,2,18,1,4,0,13,24,9,18,0,6,13,19,11,7,4,8,2,0,2,3,2,1,3,3,228,59,865,5,4,11,1,4,4,3,3,2,0,0,3
Otu0009,2,11,1,58,1,8,4,2,0,12,247,114,175,7,4,13,6,1,1,3,9,4,4,7,14,11,4,16,4,142,37,307,3,13,4,6,19,12,6,9,9,0,8,0
Otu0010,32,112,20,158,4,9,5,1,5,8,23,15,33,4,14,10,18,2,12,7,14,4,7,7,4,5,1,7,4,193,58,363,5,0,3,3,0,5,1,3,1,0,2,2
