,site.number,site.name,sampling.time,site.order,site.zone
M_01A_001,1,EFL,May,C,lacustrine
M_01B_002,1,EFL,May,C,lacustrine
M_01C_003,1,EFL,May,C,lacustrine
M_02A_004,2,EMB,May,D,lacustrine
M_02B_005,2,EMB,May,D,lacustrine
M_02C_006,2,EMB,May,D,lacustrine
M_02D_007,2,EMB,May,D,lacustrine
M_03A_008,3,ENN,May,I,transitional
M_03B_009,3,ENN,May,I,transitional
M_03C_010,3,ENN,May,I,transitional
M_04A_011,4,EUS,May,K,riverine
M_04B_014,4,EUS,May,K,riverine
M_04C_017,4,EUS,May,K,riverine
M_05A_020,5,ECP,May,N,transitional
M_05C_022,5,ECP,May,N,transitional
M_06A_023,6,HWD,May,B,lacustrine
M_06B_024,6,HWD,May,B,lacustrine
M_06C_025,6,HWD,May,B,lacustrine
M_07B_027,7,HCW,May,E,transitional
M_07C_028,7,HCW,May,E,transitional
M_08A_029,8,HND,May,G,transitional
M_08B_030,8,HND,May,G,transitional
M_08C_031,8,HND,May,G,transitional
M_09A_032,9,HST,May,O,transitional
M_09B_033,9,HST,May,O,transitional
M_09C_034,9,HST,May,O,transitional
M_10A_035,10,HTM,May,M,riverine
M_10B_036,10,HTM,May,M,riverine
M_10C_037,10,HTM,May,M,riverine
M_11A_038,11,EOF,May,A,lacustrine
M_11B_039,11,EOF,May,A,lacustrine
M_11C_040,11,EOF,May,A,lacustrine
M_12A_041,12,HCE,May,F,lacustrine
M_12B_042,12,HCE,May,F,lacustrine
M_12C_043,12,HCE,May,F,lacustrine
M_13A_044,13,HEB,May,H,lacustrine
M_13B_045,13,HEB,May,H,lacustrine
M_13C_046,13,HEB,May,H,lacustrine
M_14A_047,14,HRM,May,J,riverine
M_14B_048,14,HRM,May,J,riverine
M_14C_049,14,HRM,May,J,riverine
M_15A_050,15,HEF,May,L,riverine
M_15B_051,15,HEF,May,L,riverine
M_15C_052,15,HEF,May,L,riverine
