Source,d13C,d15N,
terrestrial,-22.64,2.21,EM1-A
terrestrial,-23.97,2,EM1-B
terrestrial,-25.71,2.51,EM1-C
terrestrial,-29.04,-0.9,EM2-A
terrestrial,-28.87,-1.29,EM2-B
terrestrial,-29.53,0.69,EM4-B
terrestrial,-23.64,3.11,EM3-A
terrestrial,-23.88,3.26,EM3-B
terrestrial,-24.69,3.52,EM3-C
terrestrial,-24.03,3.88,EM5-A
terrestrial,-24.07,4.21,EM5-B
terrestrial,-24.72,4.35,EM5-C
terrestrial,-22.16,0.73,EM6-A
aquatic,-28.56,3.2,C1-05-ENN-3
aquatic,-28.49,3.72,C1-06-ENN-3-R
aquatic,-27.03,3.34,C1-10-EUS-4
aquatic,-28.94,3.7,C1-12-ECP-5
aquatic,-33.77,15.41,C1-14-HWD-6
aquatic,-35.14,12.99,C1-16-HCW-7
aquatic,-34.79,14.38,C1-18-HCW-7-R
aquatic,-35.14,9.07,C1-20-HND-8
aquatic,-35.77,9.76,C1-22-HST-9
aquatic,-26.78,5.85,C1-24-HTM-10
aquatic,-30.98,8.98,C1-27-EOF-11
aquatic,-30.38,8.13,C1-29-HCE-12
aquatic,-30.17,7.52,C1-31-HCE-12-R
aquatic,-30.4,8.63,C1-33-HEB-13
aquatic,-30.56,8.62,C1-35-HRM-14
aquatic,-31.28,9.14,C1-37-HEF-14
