"sample","NC","d15N","site","core","category"
"H001",0.131327445743914,6.358537097625,"01","a","lacustrine"
"H002",0.124011264666586,6.39676779191716,"01","b","lacustrine"
"H003",0.124915864161774,6.38384437652425,"01","c","lacustrine"
"H004",0.152652177563963,6.584644188471,"02","a","lacustrine"
"H005",0.131645195907659,6.08558939624336,"02","b","lacustrine"
"H006",0.131234256269268,5.74746887998882,"02","c","lacustrine"
"H007",0.125081275181366,6.12760734836908,"02","d","lacustrine"
"H008",0.145588048629884,6.026191755569,"03","a","transitional"
"H009",0.119090927275406,5.68574906764252,"03","b","transitional"
"H010",0.114413683926317,5.54001416147154,"03","c","transitional"
"H011",0.109858498272309,5.309061819852,"04","a","riverine"
"H014",0.095717891388742,5.3838253597089,"04","b","riverine"
"H017",0.0954287478086137,5.35401917791704,"04","c","riverine"
"H020",0.154366949802532,6.09927362296,"05","a","transitional"
"H021",0.124063600815013,5.66003543412864,"05","b","transitional"
"H022",0.123754344662499,5.80764405635214,"05","c","transitional"
"H023",0.155861650657223,6.393499365433,"06","a","lacustrine"
"H024",0.155730957900834,5.96957019840525,"06","b","lacustrine"
"H025",0.141773691691063,5.81077614840672,"06","c","lacustrine"
"H026",0.159093942986026,6.308857362156,"07","a","transitional"
"H027",0.12554990371268,6.08632399377015,"07","b","transitional"
"H028",0.126486368207198,6.30115119381041,"07","c","transitional"
"H029",0.171500165346045,6.456751774952,"08","a","transitional"
"H030",0.124950128560767,5.90310648200296,"08","b","transitional"
"H031",0.122851861285945,5.67814108602546,"08","c","transitional"
"H032",0.171932974919316,5.818881162269,"09","a","transitional"
"H033",0.131533404986608,5.62854776351221,"09","b","transitional"
"H034",0.130092281175567,5.75083041186478,"09","c","transitional"
"H035",0.124794029891858,5.6367134105975,"10","a","riverine"
"H036",0.0890111106001653,5.02916017043303,"10","b","riverine"
"H037",0.0921126262211691,5.08524168819835,"10","c","riverine"
"H038",0.143069028431722,6.4845518883205,"11","a","lacustrine"
"H039",0.137106636904243,5.99303314335127,"11","b","lacustrine"
"H040",0.135980342915006,6.24138756862758,"11","c","lacustrine"
"H041",0.162456741952442,6.327051373044,"12","a","lacustrine"
"H042",0.123249154992595,6.06838471224868,"12","b","lacustrine"
"H043",0.121895270006346,5.97186739876257,"12","c","lacustrine"
"H044",0.148388220120054,6.4588156691965,"13","a","lacustrine"
"H045",0.116314026902358,6.1463447156618,"13","b","lacustrine"
"H046",0.12128659958691,6.13951675839234,"13","c","lacustrine"
"H047",0.118660837701196,5.717960866094,"14","a","riverine"
"H048",0.102213095292577,5.62096263844998,"14","b","riverine"
"H049",0.101850130007681,5.68924903578212,"14","c","riverine"
"H050",0.123476727443107,5.755667346025,"15","a","riverine"
"H051",0.103998975882246,5.56315497563429,"15","b","riverine"
"H052",0.111079001967562,5.70681130543386,"15","c","riverine"
